Aggregate,Dish,Washer,Fridge
302.4,0.0,2.0,1.0
304.40000000000003,0.0,3.0,0.0
301.89,0.0,3.0,0.0
302.56,0.0,2.0,0.0
303.2,0.0,3.0,0.0
309.42,0.0,3.0,0.0
302.55,0.0,3.0,0.0
302.02,0.0,3.0,0.0
300.45,0.0,2.0,0.0
301.18,0.0,3.0,0.0
300.4,0.0,3.0,0.0
302.85,0.0,3.0,0.0
302.86,0.0,2.0,0.0
299.51,0.0,2.0,0.0
302.67999999999995,0.0,2.0,0.0
300.29,0.0,2.0,0.0
310.86,0.0,2.0,0.0
311.15,0.0,2.0,0.0
307.71000000000004,0.0,2.0,0.0
302.62,0.0,3.0,0.0
303.53,0.0,4.0,1.0
304.0,0.0,2.0,0.0
281.29,0.0,3.0,0.0
281.67,0.0,1.0,1.0
287.59000000000003,0.0,2.0,0.0
293.22,0.0,3.0,0.0
281.6,0.0,2.0,0.0
299.75,0.0,3.0,0.0
298.71000000000004,0.0,2.0,0.0
301.27,0.0,2.0,0.0
301.79,0.0,2.0,0.0
299.48,0.0,3.0,0.0
297.71000000000004,0.0,2.0,0.0
299.51,0.0,2.0,0.0
297.95,0.0,2.0,0.0
300.45,0.0,2.0,0.0
299.82,0.0,2.0,0.0
299.22,0.0,2.0,0.0
298.76,0.0,2.0,0.0
299.05,0.0,3.0,0.0
298.59,0.0,3.0,1.0
297.84,0.0,2.0,0.0
299.61,0.0,3.0,0.0
298.79,0.0,2.0,0.0
285.14,0.0,3.0,0.0
282.16,0.0,2.0,0.0
306.47,0.0,2.0,0.0
299.15,1.0,2.0,0.0
298.15,0.0,2.0,0.0
299.27,0.0,3.0,0.0
298.78,0.0,3.0,0.0
297.22,0.0,2.0,0.0
299.38,0.0,3.0,0.0
300.24,0.0,2.0,0.0
300.66,0.0,2.0,0.0
301.01,0.0,3.0,0.0
301.19,1.0,3.0,0.0
306.82,0.0,2.0,0.0
304.26,0.0,3.0,0.0
300.0,0.0,2.0,0.0
298.62,0.0,2.0,0.0
299.56,0.0,2.0,0.0
300.74,0.0,2.0,0.0
300.11,0.0,3.0,0.0
300.03,0.0,3.0,0.0
300.31,0.0,2.0,0.0
298.04,0.0,2.0,0.0
305.84000000000003,0.0,3.0,0.0
297.92,0.0,3.0,0.0
298.07,0.0,2.0,1.0
298.59000000000003,0.0,3.0,0.0
301.05,0.0,2.0,0.0
288.96,0.0,2.0,0.0
294.31,0.0,3.0,0.0
315.15,0.0,2.0,0.0
312.06,0.0,2.0,0.0
313.24,0.0,3.0,0.0
313.43,0.0,3.0,0.0
315.53,0.0,2.0,0.0
314.82,0.0,3.0,0.0
317.84000000000003,0.0,3.0,0.0
315.08000000000004,1.0,3.0,0.0
317.54,0.0,2.0,0.0
315.85,0.0,2.0,0.0
318.22,0.0,2.0,0.0
314.53,1.0,2.0,0.0
315.42999999999995,0.0,2.0,0.0
314.54,0.0,2.0,0.0
311.78000000000003,0.0,2.0,0.0
314.73,1.0,3.0,0.0
314.42,0.0,2.0,0.0
313.08000000000004,0.0,3.0,0.0
294.38,0.0,2.0,0.0
313.77,0.0,2.0,0.0
314.77,0.0,3.0,0.0
318.84,0.0,2.0,0.0
315.77,0.0,3.0,0.0
440.19,0.0,3.0,126.0
440.24,0.0,3.0,126.0
438.79,0.0,3.0,0.0
312.06,0.0,2.0,0.0
316.46,0.0,2.0,0.0
318.87,0.0,3.0,0.0
319.85,0.0,2.0,0.0
320.47,0.0,3.0,4.0
319.56,0.0,3.0,4.0
322.33000000000004,0.0,3.0,2.0
322.43,0.0,3.0,4.0
323.8,0.0,2.0,5.0
322.28,0.0,3.0,4.0
322.43,0.0,3.0,4.0
319.65,0.0,2.0,3.0
321.07,1.0,2.0,5.0
321.61,0.0,2.0,2.0
321.91,0.0,3.0,5.0
323.79,0.0,3.0,2.0
320.25,0.0,3.0,5.0
321.6,0.0,3.0,2.0
322.03000000000003,0.0,3.0,4.0
321.07,0.0,2.0,5.0
322.85,0.0,2.0,5.0
326.28,0.0,2.0,3.0
327.13,0.0,2.0,3.0
321.43,0.0,2.0,5.0
322.76,1.0,3.0,5.0
323.98,0.0,2.0,2.0
320.27000000000004,0.0,2.0,2.0
321.99,0.0,2.0,5.0
320.52,0.0,3.0,5.0
324.49,0.0,3.0,5.0
320.03,0.0,2.0,5.0
321.84,0.0,2.0,5.0
322.09000000000003,0.0,2.0,5.0
320.0,0.0,3.0,2.0
321.56,0.0,2.0,3.0
323.85,1.0,3.0,4.0
324.55,1.0,3.0,4.0
314.7,0.0,3.0,5.0
320.33000000000004,0.0,2.0,5.0
321.95,0.0,2.0,5.0
318.92,0.0,2.0,5.0
320.35,0.0,2.0,4.0
324.20000000000005,0.0,3.0,5.0
321.17,0.0,3.0,2.0
317.61,0.0,2.0,3.0
322.85,0.0,2.0,4.0
324.69000000000005,0.0,3.0,5.0
322.75,0.0,2.0,2.0
318.32,0.0,2.0,3.0
317.89,0.0,3.0,5.0
321.81,0.0,2.0,3.0
321.45,0.0,2.0,5.0
320.84000000000003,0.0,2.0,5.0
318.06,1.0,3.0,5.0
320.72,0.0,3.0,5.0
325.46,0.0,2.0,4.0
324.1,0.0,2.0,3.0
325.48,0.0,2.0,5.0
323.95000000000005,0.0,3.0,3.0
321.23,0.0,2.0,3.0
322.07,0.0,3.0,2.0
321.36,1.0,3.0,4.0
320.98,0.0,3.0,2.0
320.78000000000003,0.0,3.0,5.0
321.59,0.0,3.0,4.0
321.0,0.0,3.0,5.0
325.55,0.0,2.0,5.0
321.85,0.0,2.0,4.0
320.35,0.0,2.0,5.0
322.49,0.0,2.0,3.0
310.92,0.0,3.0,5.0
307.36,0.0,2.0,3.0
301.59,0.0,2.0,2.0
303.2,0.0,3.0,3.0
310.90000000000003,0.0,3.0,3.0
307.97,0.0,2.0,3.0
309.81,0.0,3.0,2.0
302.89,0.0,2.0,5.0
301.13,0.0,2.0,4.0
304.0,0.0,3.0,3.0
303.35,0.0,3.0,4.0
854.61,0.0,5.0,185.0
498.28,0.0,3.0,196.0
490.81,0.0,3.0,192.0
488.64,0.0,3.0,189.0
487.36,0.0,2.0,193.0
490.58,0.0,3.0,180.0
485.41,0.0,2.0,184.0
474.6,0.0,3.0,175.0
477.47,0.0,2.0,177.0
480.8,0.0,3.0,173.0
473.65,0.0,3.0,174.0
468.59,0.0,3.0,168.0
468.52,0.0,2.0,174.0
467.65,0.0,2.0,162.0
467.17,0.0,3.0,168.0
475.88,0.0,3.0,168.0
463.06,0.0,2.0,167.0
460.84,0.0,2.0,164.0
461.97,0.0,2.0,162.0
456.12,0.0,2.0,158.0
455.61,0.0,2.0,158.0
456.36,0.0,3.0,160.0
456.09,0.0,2.0,164.0
461.92,0.0,3.0,164.0
467.15,0.0,2.0,162.0
455.66,0.0,3.0,159.0
454.23,0.0,2.0,156.0
456.05,0.0,3.0,162.0
453.9,0.0,3.0,158.0
455.26,0.0,2.0,163.0
454.32,0.0,3.0,159.0
454.36,0.0,3.0,155.0
454.64,0.0,2.0,158.0
454.94,0.0,3.0,161.0
456.41,0.0,3.0,161.0
460.72,0.0,3.0,157.0
460.39,0.0,3.0,160.0
450.77,0.0,2.0,157.0
455.35,0.0,2.0,151.0
460.83,0.0,2.0,153.0
450.2,0.0,3.0,159.0
447.05,0.0,3.0,154.0
453.32,0.0,2.0,139.0
450.02,0.0,2.0,159.0
448.68,0.0,2.0,154.0
448.97,0.0,2.0,154.0
449.17,0.0,2.0,156.0
448.18,0.0,2.0,151.0
450.61,0.0,3.0,154.0
449.71,0.0,2.0,154.0
448.58,0.0,2.0,159.0
448.52,0.0,2.0,159.0
454.59,0.0,2.0,150.0
454.04,0.0,3.0,158.0
451.4,0.0,3.0,157.0
444.13,0.0,2.0,154.0
447.79,0.0,3.0,157.0
451.16,0.0,2.0,152.0
448.64,0.0,2.0,151.0
450.2600000000001,0.0,2.0,157.0
453.18,0.0,3.0,148.0
450.73,0.0,2.0,154.0
452.28,0.0,2.0,155.0
446.13,0.0,3.0,154.0
453.27,0.0,2.0,154.0
449.14,0.0,2.0,156.0
450.4,0.0,2.0,149.0
452.08,0.0,2.0,154.0
448.8,0.0,3.0,150.0
449.79,0.0,3.0,153.0
453.82,0.0,3.0,164.0
451.97,1.0,2.0,164.0
449.92,0.0,2.0,156.0
446.11,0.0,2.0,149.0
445.91,0.0,2.0,150.0
448.49,0.0,2.0,153.0
450.23,0.0,2.0,154.0
449.62,0.0,2.0,153.0
446.25,0.0,2.0,155.0
450.49,0.0,3.0,151.0
447.24,0.0,3.0,150.0
448.2000000000001,0.0,3.0,155.0
450.87,0.0,3.0,151.0
449.73,0.0,2.0,155.0
449.88,0.0,2.0,152.0
444.14,0.0,3.0,150.0
449.36,0.0,2.0,150.0
449.47,0.0,3.0,148.0
451.78,0.0,2.0,152.0
454.71,0.0,2.0,152.0
450.24,0.0,2.0,152.0
449.18,0.0,3.0,150.0
447.79,0.0,2.0,150.0
448.64,0.0,2.0,148.0
444.01,0.0,2.0,148.0
448.64,0.0,3.0,152.0
446.34,0.0,3.0,152.0
443.31,0.0,2.0,149.0
448.76,0.0,3.0,150.0
445.53,0.0,2.0,147.0
453.04,0.0,3.0,148.0
445.35,0.0,3.0,152.0
449.71,0.0,3.0,148.0
445.73,0.0,2.0,146.0
444.38,0.0,3.0,150.0
443.72,0.0,2.0,151.0
447.42,0.0,3.0,150.0
448.43,0.0,2.0,144.0
441.6,0.0,2.0,147.0
443.73,0.0,3.0,154.0
439.17,0.0,2.0,150.0
451.68,0.0,2.0,151.0
434.68,0.0,2.0,143.0
437.06,0.0,2.0,147.0
438.06,0.0,3.0,150.0
435.59,0.0,2.0,152.0
446.2,0.0,2.0,146.0
434.98,0.0,3.0,147.0
437.14,0.0,2.0,148.0
453.65,0.0,2.0,150.0
454.59,0.0,2.0,148.0
440.32,0.0,2.0,143.0
439.4500000000001,0.0,3.0,148.0
439.2,0.0,2.0,146.0
437.88,0.0,2.0,148.0
439.52,0.0,2.0,146.0
439.27,0.0,2.0,143.0
443.98,0.0,3.0,148.0
447.4,0.0,2.0,147.0
449.49,0.0,2.0,148.0
440.67,0.0,2.0,144.0
441.63,0.0,2.0,145.0
443.24,0.0,2.0,142.0
436.41,0.0,2.0,150.0
437.13,0.0,2.0,151.0
434.71,0.0,3.0,148.0
436.36,0.0,2.0,149.0
436.43,0.0,2.0,150.0
435.65,0.0,2.0,148.0
442.89,0.0,3.0,149.0
439.46,1.0,2.0,155.0
435.56,0.0,3.0,148.0
439.4,0.0,2.0,147.0
433.09,0.0,3.0,151.0
438.55,0.0,3.0,147.0
443.0,0.0,3.0,150.0
438.56,0.0,3.0,147.0
440.53,0.0,2.0,146.0
448.52,0.0,2.0,148.0
445.36,0.0,2.0,148.0
438.37,0.0,3.0,144.0
437.11,0.0,3.0,147.0
436.47,0.0,2.0,150.0
435.09,0.0,3.0,145.0
434.98,0.0,3.0,141.0
452.43,0.0,3.0,148.0
433.84,0.0,2.0,145.0
439.57,0.0,3.0,146.0
436.5100000000001,0.0,3.0,148.0
437.92,0.0,2.0,146.0
436.35,0.0,3.0,144.0
437.24,0.0,2.0,146.0
436.86,0.0,2.0,146.0
441.37,0.0,3.0,141.0
447.29,0.0,2.0,146.0
434.1,0.0,2.0,148.0
432.12,0.0,2.0,145.0
436.18,0.0,3.0,145.0
431.81,0.0,2.0,148.0
435.45,0.0,2.0,148.0
443.38,0.0,2.0,143.0
434.04,0.0,3.0,142.0
432.91,0.0,3.0,149.0
432.9,0.0,3.0,145.0
433.31,0.0,3.0,145.0
434.2,0.0,2.0,143.0
435.59,0.0,3.0,143.0
434.78,0.0,2.0,145.0
438.68,0.0,2.0,139.0
434.33,0.0,2.0,144.0
435.11,0.0,2.0,144.0
437.92,0.0,2.0,150.0
432.54,0.0,3.0,142.0
434.29,0.0,3.0,143.0
435.31,0.0,3.0,142.0
436.59,0.0,2.0,146.0
436.95,0.0,3.0,146.0
441.97,0.0,3.0,146.0
445.21,0.0,3.0,145.0
433.14,0.0,2.0,142.0
431.44,0.0,3.0,147.0
433.72,0.0,2.0,141.0
433.29,0.0,2.0,141.0
433.51,0.0,2.0,149.0
439.59,0.0,2.0,142.0
441.05,0.0,2.0,142.0
433.61,0.0,2.0,148.0
440.1,0.0,3.0,148.0
431.08,0.0,3.0,143.0
436.53,0.0,2.0,143.0
437.88,0.0,3.0,143.0
443.5,0.0,2.0,145.0
439.63,0.0,3.0,139.0
440.08,0.0,3.0,147.0
439.04,0.0,2.0,147.0
446.91,0.0,2.0,149.0
440.37,0.0,2.0,145.0
446.74,0.0,2.0,143.0
438.58,0.0,2.0,148.0
439.82,0.0,3.0,146.0
442.42,0.0,2.0,147.0
429.21,0.0,3.0,141.0
438.82,0.0,3.0,144.0
440.43,0.0,2.0,141.0
448.41,0.0,2.0,139.0
448.27,0.0,2.0,146.0
437.58,0.0,3.0,135.0
442.59,0.0,2.0,143.0
436.7000000000001,0.0,2.0,139.0
438.99,0.0,2.0,139.0
442.72,0.0,2.0,139.0
435.77,0.0,2.0,139.0
440.87,0.0,2.0,139.0
448.05,0.0,2.0,144.0
437.95,0.0,2.0,138.0
438.48,0.0,2.0,143.0
438.93,0.0,2.0,147.0
442.69,0.0,2.0,142.0
441.27,0.0,2.0,139.0
432.47,0.0,2.0,147.0
437.52,0.0,2.0,141.0
435.33,0.0,2.0,142.0
433.3,0.0,2.0,142.0
435.99,0.0,2.0,143.0
442.21,0.0,2.0,144.0
445.73,0.0,3.0,140.0
443.1,0.0,2.0,143.0
442.41,0.0,3.0,139.0
438.42,0.0,2.0,144.0
442.99,0.0,2.0,144.0
444.13,0.0,3.0,144.0
437.94,0.0,2.0,141.0
439.4,0.0,2.0,141.0
437.75,0.0,2.0,144.0
439.26,0.0,3.0,148.0
439.75,0.0,2.0,141.0
439.24,0.0,2.0,146.0
442.15,0.0,2.0,142.0
446.44,0.0,2.0,137.0
450.27,0.0,2.0,146.0
442.21,0.0,2.0,142.0
444.73,0.0,2.0,143.0
438.71,0.0,2.0,145.0
441.63,0.0,3.0,144.0
440.84,0.0,2.0,143.0
439.03,0.0,2.0,141.0
437.31,0.0,3.0,147.0
441.42,0.0,2.0,142.0
436.16,0.0,2.0,137.0
444.5,0.0,2.0,146.0
433.99,0.0,2.0,147.0
442.27,0.0,2.0,143.0
434.64,0.0,2.0,139.0
435.07,0.0,3.0,142.0
433.11,0.0,2.0,140.0
431.58,0.0,3.0,146.0
430.67,0.0,2.0,140.0
431.37,0.0,2.0,140.0
442.35,0.0,2.0,139.0
442.21,0.0,2.0,143.0
443.82,0.0,2.0,146.0
435.68,0.0,2.0,142.0
439.7000000000001,0.0,2.0,141.0
438.31,0.0,3.0,140.0
433.75,0.0,2.0,141.0
433.69000000000005,0.0,3.0,147.0
435.11,0.0,2.0,146.0
433.3,0.0,2.0,139.0
434.65,0.0,3.0,145.0
436.74,0.0,2.0,143.0
446.61,0.0,3.0,141.0
446.7,0.0,2.0,141.0
441.09,0.0,2.0,143.0
442.24,0.0,2.0,145.0
435.53,0.0,2.0,142.0
432.25,0.0,2.0,139.0
434.0,0.0,2.0,145.0
431.49,0.0,2.0,139.0
427.99,0.0,3.0,140.0
434.51,0.0,2.0,137.0
432.76,0.0,3.0,143.0
430.36,0.0,3.0,145.0
430.78,0.0,3.0,144.0
425.66,0.0,2.0,142.0
426.29,0.0,2.0,141.0
443.31,0.0,2.0,141.0
428.35,0.0,2.0,141.0
439.17,0.0,2.0,141.0
428.32,0.0,3.0,138.0
435.84,0.0,3.0,138.0
435.62,0.0,2.0,141.0
433.77,0.0,3.0,142.0
431.59,0.0,2.0,142.0
429.2,0.0,2.0,142.0
435.87,0.0,2.0,141.0
439.41,0.0,3.0,140.0
453.47,0.0,2.0,145.0
429.6,0.0,3.0,140.0
447.5,0.0,2.0,145.0
436.33,0.0,2.0,140.0
436.61,0.0,3.0,142.0
425.24,0.0,2.0,141.0
425.8,0.0,3.0,141.0
428.37,0.0,3.0,139.0
430.15,0.0,3.0,142.0
436.86,0.0,3.0,139.0
441.66,0.0,3.0,142.0
430.4,0.0,2.0,140.0
427.23,0.0,2.0,142.0
428.19,0.0,2.0,135.0
426.12,0.0,2.0,143.0
425.9,0.0,2.0,143.0
420.69,0.0,2.0,140.0
424.12,0.0,2.0,136.0
428.56,0.0,2.0,140.0
435.99,0.0,3.0,145.0
437.24,0.0,2.0,140.0
443.82,0.0,2.0,140.0
427.66,0.0,3.0,143.0
440.06,0.0,3.0,140.0
426.18,0.0,3.0,136.0
428.37,0.0,2.0,144.0
428.38,0.0,3.0,145.0
437.91,0.0,2.0,136.0
439.51,0.0,2.0,142.0
433.5700000000001,0.0,3.0,138.0
446.54,0.0,2.0,140.0
430.86,0.0,3.0,144.0
433.82,0.0,2.0,140.0
430.68,0.0,2.0,139.0
432.5,0.0,3.0,130.0
433.95,0.0,2.0,139.0
434.42,0.0,2.0,140.0
431.08,0.0,3.0,143.0
433.17,0.0,2.0,138.0
437.13,0.0,2.0,139.0
432.06,0.0,2.0,140.0
431.25,0.0,3.0,139.0
432.62,0.0,2.0,139.0
430.86,0.0,3.0,137.0
429.99,0.0,2.0,138.0
427.85,0.0,2.0,136.0
433.26,0.0,2.0,143.0
425.37,0.0,2.0,143.0
436.39,0.0,3.0,138.0
286.39,0.0,3.0,138.0
293.39,0.0,3.0,138.0
282.61,0.0,3.0,138.0
283.21,0.0,3.0,138.0
282.51,0.0,3.0,0.0
283.32,0.0,3.0,0.0
281.81,0.0,3.0,0.0
282.93,0.0,3.0,0.0
280.54,0.0,2.0,0.0
287.2,0.0,3.0,0.0
287.8,0.0,2.0,0.0
291.58,0.0,3.0,0.0
285.07,0.0,3.0,0.0
283.46,0.0,2.0,0.0
287.26,1.0,3.0,0.0
279.4,0.0,2.0,0.0
283.24,0.0,3.0,0.0
289.97,0.0,3.0,0.0
297.96000000000004,0.0,3.0,0.0
303.88,0.0,2.0,0.0
299.38,0.0,2.0,0.0
291.84000000000003,0.0,3.0,0.0
294.67,0.0,3.0,0.0
293.32,0.0,3.0,0.0
301.84000000000003,1.0,3.0,0.0
293.38,0.0,2.0,0.0
299.12,0.0,2.0,0.0
298.59,0.0,3.0,1.0
293.16,0.0,2.0,0.0
294.26,0.0,3.0,0.0
293.07,0.0,2.0,0.0
295.88,0.0,3.0,0.0
293.42,0.0,3.0,0.0
303.97,0.0,2.0,0.0
290.11,0.0,3.0,0.0
295.38,0.0,3.0,0.0
291.68,0.0,3.0,0.0
290.96000000000004,0.0,2.0,0.0
298.64,0.0,2.0,0.0
291.36,0.0,3.0,0.0
291.63,1.0,2.0,0.0
288.2,1.0,2.0,0.0
288.28,0.0,3.0,0.0
295.02,0.0,2.0,0.0
294.52,0.0,2.0,0.0
289.79,0.0,3.0,0.0
296.55,0.0,2.0,0.0
296.99,0.0,3.0,0.0
290.88,0.0,2.0,0.0
292.09000000000003,0.0,2.0,0.0
296.99,0.0,2.0,0.0
290.02,0.0,3.0,0.0
288.66,0.0,3.0,0.0
286.96,0.0,2.0,0.0
288.86,0.0,2.0,0.0
294.56,0.0,3.0,1.0
288.85,0.0,3.0,0.0
292.81,1.0,3.0,0.0
287.03000000000003,0.0,2.0,0.0
296.39,0.0,2.0,0.0
286.85,0.0,2.0,0.0
288.38,0.0,2.0,0.0
288.49,0.0,3.0,0.0
290.44,0.0,3.0,0.0
293.6,1.0,2.0,0.0
296.89,0.0,3.0,0.0
288.51,0.0,3.0,0.0
289.93,0.0,3.0,0.0
292.1,0.0,3.0,0.0
290.77,0.0,3.0,0.0
286.5,0.0,2.0,0.0
293.95,0.0,2.0,0.0
294.99,0.0,2.0,0.0
294.69,0.0,3.0,0.0
286.46000000000004,0.0,3.0,0.0
297.35,0.0,2.0,0.0
293.58,1.0,3.0,0.0
288.03,1.0,3.0,0.0
287.28,0.0,2.0,0.0
292.16,0.0,3.0,0.0
286.32,0.0,3.0,0.0
289.7,0.0,3.0,0.0
290.98,0.0,2.0,0.0
292.75,0.0,2.0,0.0
287.93,0.0,2.0,0.0
294.51,0.0,3.0,0.0
295.07,0.0,3.0,0.0
294.84000000000003,0.0,3.0,0.0
286.67,0.0,2.0,0.0
282.28,0.0,3.0,0.0
269.29,0.0,2.0,0.0
276.42,0.0,2.0,0.0
280.74,0.0,2.0,0.0
279.06,0.0,3.0,0.0
282.44,0.0,3.0,0.0
282.99,0.0,3.0,1.0
284.94,0.0,2.0,0.0
287.83000000000004,0.0,2.0,0.0
279.66,0.0,3.0,0.0
286.59,0.0,3.0,0.0
286.0,0.0,3.0,0.0
286.43,0.0,2.0,0.0
283.91,0.0,3.0,0.0
284.92,0.0,3.0,0.0
291.55,0.0,2.0,0.0
289.94,0.0,2.0,0.0
282.24,0.0,2.0,0.0
283.6,0.0,2.0,0.0
289.19,0.0,3.0,1.0
277.82,0.0,3.0,0.0
280.11,0.0,2.0,1.0
277.67,0.0,2.0,1.0
273.09000000000003,0.0,3.0,0.0
279.03,0.0,3.0,0.0
278.49,0.0,2.0,0.0
280.9,0.0,3.0,0.0
276.36,0.0,2.0,0.0
286.36,0.0,2.0,0.0
285.75,0.0,3.0,0.0
271.61,0.0,2.0,0.0
268.31,0.0,3.0,0.0
275.58,0.0,3.0,0.0
271.44,0.0,2.0,0.0
273.81,0.0,2.0,0.0
279.23,0.0,2.0,0.0
284.01,1.0,3.0,0.0
270.18,0.0,2.0,0.0
274.65,0.0,2.0,0.0
281.42,0.0,3.0,0.0
286.16,0.0,3.0,0.0
281.5,0.0,2.0,0.0
277.99,1.0,3.0,0.0
269.12,0.0,2.0,0.0
272.3,0.0,3.0,0.0
274.25,0.0,2.0,0.0
275.46000000000004,0.0,3.0,0.0
287.77,0.0,2.0,0.0
281.22,0.0,2.0,0.0
282.43,0.0,2.0,0.0
280.92,0.0,3.0,0.0
281.93,0.0,3.0,0.0
282.41,0.0,2.0,1.0
282.68,0.0,3.0,1.0
278.33,0.0,3.0,0.0
284.33,0.0,3.0,0.0
