Aggregate,Microwave,Fridge
312.57,4.0,158.0
313.65,4.0,160.0
312.66,3.0,161.0
311.45000000000005,4.0,160.0
312.49,4.0,157.0
311.14,3.0,160.0
312.33000000000004,3.0,158.0
312.02,4.0,161.0
312.65,3.0,160.0
312.42,3.0,158.0
312.61,3.0,159.0
310.89,3.0,158.0
312.18,4.0,160.0
311.28,3.0,157.0
311.82,3.0,158.0
311.36,3.0,160.0
312.5,4.0,159.0
309.09,3.0,159.0
309.6,4.0,156.0
309.08,3.0,158.0
308.69,3.0,156.0
309.2,3.0,157.0
308.63,4.0,156.0
309.1,3.0,156.0
307.79,4.0,155.0
182.83,3.0,0.0
182.77,3.0,1.0
182.72,3.0,1.0
182.5,4.0,1.0
182.66,4.0,1.0
183.0,4.0,1.0
182.8,4.0,1.0
183.16,3.0,1.0
182.46,3.0,1.0
182.74,3.0,0.0
183.41000000000005,4.0,1.0
182.51,3.0,0.0
182.91,4.0,1.0
182.57,3.0,1.0
182.91,3.0,0.0
183.0,3.0,0.0
182.41,3.0,0.0
182.37,3.0,0.0
182.9,3.0,0.0
182.67,3.0,0.0
182.42,3.0,0.0
182.86,3.0,0.0
182.58,3.0,0.0
182.84,3.0,1.0
182.8,3.0,1.0
182.83,3.0,0.0
182.82,4.0,0.0
183.02,4.0,1.0
182.61,4.0,0.0
182.58,4.0,0.0
182.78,4.0,1.0
182.56,3.0,1.0
182.74,4.0,1.0
182.46,3.0,1.0
183.03,3.0,1.0
182.27,3.0,1.0
182.9,4.0,1.0
182.71,3.0,1.0
182.59,4.0,1.0
182.42,3.0,0.0
182.5,3.0,0.0
182.23,3.0,1.0
182.9,3.0,1.0
183.22,5.0,1.0
182.61,4.0,0.0
182.46,4.0,0.0
182.22,4.0,1.0
182.2,4.0,0.0
182.59,3.0,0.0
182.5,3.0,1.0
182.43,3.0,0.0
182.46,3.0,0.0
182.34,3.0,0.0
182.41000000000005,3.0,0.0
182.61,4.0,1.0
182.15,3.0,1.0
182.17,3.0,0.0
182.46,3.0,0.0
182.05,3.0,1.0
181.67,4.0,0.0
181.53,4.0,1.0
181.82,4.0,1.0
181.4,4.0,1.0
181.49,3.0,1.0
182.32,4.0,0.0
182.09,4.0,1.0
181.86,4.0,1.0
181.59,4.0,0.0
181.83,4.0,1.0
181.14,4.0,0.0
181.88,4.0,1.0
181.33,3.0,1.0
181.12,3.0,0.0
181.59,3.0,1.0
182.46,4.0,1.0
181.72,3.0,1.0
181.56,3.0,0.0
181.7,3.0,0.0
181.42,3.0,0.0
181.32,4.0,1.0
181.5,4.0,1.0
181.25,3.0,1.0
181.38,3.0,1.0
181.16,3.0,1.0
181.22,3.0,0.0
180.8,4.0,0.0
180.76,4.0,1.0
181.04,3.0,1.0
181.18,3.0,1.0
181.16000000000005,4.0,1.0
181.42,4.0,1.0
181.3,3.0,0.0
181.4,4.0,1.0
181.08,3.0,1.0
181.04,4.0,0.0
180.63,3.0,1.0
181.09,3.0,1.0
181.29,4.0,0.0
181.48,4.0,0.0
181.64,4.0,0.0
181.34,3.0,0.0
180.81,4.0,1.0
180.79,4.0,1.0
181.07,4.0,0.0
180.77,3.0,0.0
181.4,3.0,0.0
181.61,3.0,0.0
181.66000000000005,4.0,1.0
181.12,4.0,1.0
181.0,4.0,1.0
181.51,4.0,0.0
181.27,3.0,0.0
181.3,3.0,1.0
181.46,4.0,1.0
180.74,4.0,1.0
181.51,4.0,1.0
181.29,4.0,1.0
181.21,4.0,1.0
181.25,4.0,0.0
181.35,3.0,1.0
181.43,4.0,1.0
181.08,4.0,0.0
181.34,3.0,1.0
180.86,3.0,1.0
180.89,3.0,0.0
181.59,4.0,0.0
181.6,4.0,1.0
181.59,4.0,1.0
180.75,3.0,0.0
181.05,4.0,1.0
181.73,3.0,1.0
181.84,3.0,1.0
181.3,3.0,0.0
181.37,3.0,0.0
181.57,4.0,0.0
182.5,3.0,1.0
182.51,3.0,0.0
182.62,3.0,1.0
182.77,4.0,1.0
183.01,3.0,0.0
183.0,3.0,0.0
183.23,5.0,1.0
183.11,4.0,1.0
182.63,4.0,0.0
182.92,4.0,1.0
183.1,3.0,0.0
183.19,4.0,1.0
183.13,4.0,1.0
183.26,4.0,1.0
183.0,4.0,0.0
183.21,3.0,1.0
183.21,3.0,0.0
183.01,3.0,0.0
183.23,4.0,1.0
182.99,3.0,1.0
183.2,3.0,0.0
183.36,3.0,1.0
182.79,4.0,1.0
182.96,4.0,1.0
182.96,3.0,0.0
183.28,4.0,1.0
182.81,3.0,0.0
182.54,3.0,0.0
182.93,4.0,1.0
183.17,4.0,1.0
182.78,3.0,0.0
182.45,3.0,0.0
182.54,3.0,1.0
183.13,3.0,0.0
183.15,3.0,0.0
183.02,3.0,0.0
183.0,3.0,0.0
182.99,3.0,0.0
183.69,5.0,1.0
183.05,5.0,0.0
183.31,5.0,1.0
183.09,4.0,0.0
183.81,5.0,0.0
183.83,4.0,0.0
183.67,4.0,0.0
183.67,4.0,1.0
183.53,4.0,0.0
183.25,4.0,0.0
182.99,4.0,0.0
183.93,5.0,0.0
183.92,4.0,0.0
183.57,5.0,1.0
182.96,4.0,1.0
182.98,4.0,1.0
183.76,4.0,0.0
183.64,4.0,1.0
183.37,4.0,1.0
183.07,4.0,1.0
183.33,4.0,1.0
183.65,4.0,1.0
183.18,4.0,0.0
183.23,4.0,1.0
183.61,4.0,0.0
183.54,4.0,0.0
183.1,4.0,1.0
183.83,4.0,1.0
182.3,4.0,0.0
181.91,4.0,1.0
182.15,4.0,1.0
182.25,5.0,1.0
182.01,4.0,0.0
